Id,Label,Terms,Datatype,Pattern,Unit,Enumeration,Additional Missing Value Codes,Notes
study_id,Identificador del participante,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
fecha_inscripcion,Fecha de inscripción (MM/DD/AAAA),,dateTime,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
edad,¿Cuántos años tiene?,,int,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
sexo_nacimiento,Sexo asignado al nacer,,string,,,"""Femenino""=[Femenino] |""Masculino""=[Masculino] |""Intersexual""=[Intersexual] |""No responde""=[Prefiere no responder] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
raza_etnicidad,¿Cuál es su raza y origen étnico?,,int,,,"""1""=[White, non-Hispanic] |""2""=[Black, non-Hispanic] |""3""=[Hispanic/Latina] |""4""=[Asian, non-Hispanic] |""5""=[American Indian/Alaska Native] |""6""=[Native Hawaiian/Pacific Islander] |""7""=[Multiracial] |""8""=[Other] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
nivel_educacion,¿Cuál es su nivel más alto de educación?,,int,,,"""1""=[Sin educación formal] |""2""=[Primaria] |""3""=[Secundaria incompleta] |""4""=[Secundaria completa/GED] |""5""=[Universidad/Técnico] |""6""=[Licenciatura] |""7""=[Posgrado] |""99""=[Prefiere no responder] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
codigo_postal,Código postal de residencia,,string,,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
situacion_laboral,¿Cuál es su situación laboral actual?,,int,,,"""1""=[Empleada tiempo completo] |""2""=[Empleada medio tiempo] |""3""=[Desempleada] |""4""=[Ama de casa] |""5""=[Estudiante] |""6""=[Incapacitada] |""99""=[Prefiere no responder] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
tipo_seguro,¿Qué tipo de seguro médico tiene?,,int,,,"""0""=[Sin seguro] |""1""=[Privado/Empleador] |""2""=[Medicaid/CHIP] |""3""=[Medicare] |""4""=[Otro público] |""99""=[Prefiere no responder] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
discapacidad,¿Tiene alguna discapacidad que interfiera con actividades diarias?,,int,,,"""0""=[No] |""1""=[Sí] |""99""=[Prefiere no responder] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]",
